date,sentiment_score,article_count
2026-02-03,0.0,0
2026-02-04,-0.056707,70
2026-02-05,-0.022469,68
2026-02-06,-0.065079,62
2026-02-07,0.04332,57
2026-02-08,-0.060992,61
2026-02-09,-0.13674,67
2026-02-10,-0.110333,75
2026-02-11,-0.134167,79
2026-02-12,-0.156287,75
2026-02-13,-0.034593,55
2026-02-14,0.039261,50
2026-02-15,0.019078,62
2026-02-16,0.00293,72
2026-02-17,-0.035372,69
2026-02-18,-0.062819,64
2026-02-19,0.024877,60
2026-02-20,0.037872,53
2026-02-21,0.04384,60
2026-02-22,-0.012225,64
2026-02-23,0.046244,74
2026-02-24,0.084946,70
2026-02-25,0.033355,72
2026-02-26,0.038879,71
2026-02-27,0.05893,51
2026-02-28,-0.004321,55
2026-03-01,-0.038136,77
2026-03-02,0.048519,80
